buffer,neurons,learning_rate,batch_size,rmse,directional_acc_thr,directional_acc_quantile
200,16,0.0005,4,6.809622196484275,1.0,0.5726495726495726
200,8,0.0005,4,6.811077846890981,1.0,0.5526315789473685
200,32,0.0001,2,6.811390356334331,1.0,0.5689655172413793
200,16,0.0005,2,6.812340344814164,1.0,0.5689655172413793
200,32,0.0001,4,6.814252617928818,1.0,0.5652173913043478
200,8,0.0005,2,6.815651981529406,1.0,0.5652173913043478
150,32,0.0001,2,6.822463874597013,1.0,0.5263157894736842
200,16,0.0001,4,6.823342646133804,1.0,0.5614035087719298
200,8,0.0001,4,6.8247941070821145,1.0,0.5384615384615384
150,16,0.0001,4,6.82593526630685,1.0,0.5304347826086957
150,8,0.0005,4,6.826794975152404,1.0,0.5701754385964912
150,8,0.0001,4,6.82712586739885,1.0,0.525
150,8,0.0005,2,6.827940248327424,1.0,0.5739130434782609
150,16,0.0005,2,6.828902648455846,1.0,0.5789473684210527
150,32,0.0001,4,6.830185871770607,1.0,0.5217391304347826
150,16,0.0005,4,6.8312609666472905,1.0,0.5263157894736842
300,16,0.0005,4,6.831855357120127,1.0,0.5126050420168067
350,32,0.0001,4,6.832319593208499,1.0,0.5739130434782609
200,32,0.0005,4,6.833051913453101,1.0,0.6228070175438597
250,32,0.0001,4,6.8362810116436075,1.0,0.5086206896551724
250,16,0.0005,4,6.836290816654737,1.0,0.5
250,16,0.0005,2,6.838621477382245,1.0,0.5
450,16,0.0001,2,6.838661448318347,1.0,0.5689655172413793
300,16,0.0005,2,6.839587584176876,1.0,0.5739130434782609
450,8,0.0001,2,6.840733455467527,1.0,0.631578947368421
300,8,0.0005,4,6.840938050038278,1.0,0.5263157894736842
250,16,0.0001,4,6.843066334696192,1.0,0.5
450,16,0.0005,2,6.8431223950280735,1.0,0.5789473684210527
450,32,0.0001,2,6.844038611824753,1.0,0.6293103448275862
250,8,0.0005,4,6.84426575997797,1.0,0.5043478260869565
350,8,0.0005,4,6.84454629083293,1.0,0.6206896551724138
350,32,0.0001,2,6.8446792047870835,1.0,0.5739130434782609
250,8,0.0001,4,6.845157168443349,1.0,0.5043478260869565
250,8,0.0005,2,6.845550326423996,1.0,0.5043478260869565
450,8,0.0005,2,6.84569189922833,1.0,0.5789473684210527
200,32,0.0005,2,6.846523790801322,1.0,0.6293103448275862
300,8,0.0005,2,6.846893298348919,1.0,0.5338983050847458
350,16,0.0001,4,6.846897979938454,1.0,0.5
350,8,0.0001,4,6.84886470520005,1.0,0.5
400,32,0.0001,2,6.850074463677451,1.0,0.5689655172413793
150,32,0.0005,4,6.850217433938465,1.0,0.5726495726495726
300,32,0.0001,4,6.850533302579071,1.0,0.5304347826086957
350,16,0.0005,2,6.850640493309187,1.0,0.6293103448275862
150,32,0.0005,2,6.8507155476391155,1.0,0.5789473684210527
350,8,0.0005,2,6.851296026291999,1.0,0.6379310344827587
300,32,0.0001,2,6.852473881869291,1.0,0.5378151260504201
250,32,0.0001,2,6.852991935341845,1.0,0.5
400,16,0.0005,2,6.8530869427036265,1.0,0.5789473684210527
400,16,0.0001,2,6.853204637508517,1.0,0.5217391304347826
400,8,0.0005,2,6.853747665023936,1.0,0.5689655172413793
400,8,0.0001,2,6.855981087038105,1.0,0.5172413793103449
400,16,0.0001,4,6.859428799424711,1.0,0.5299145299145299
350,16,0.0005,4,6.859824932703966,1.0,0.5789473684210527
300,16,0.0001,4,6.861007224132544,1.0,0.5263157894736842
350,8,0.0001,2,6.862115750159459,1.0,0.49122807017543857
400,8,0.0001,4,6.86301611177781,1.0,0.5130434782608696
300,8,0.0001,4,6.864729941293097,1.0,0.5384615384615384
100,16,0.0005,4,6.871249023468679,1.0,0.5217391304347826
100,16,0.0001,4,6.871287221330233,1.0,0.6140350877192983
250,32,0.0005,2,6.871605063488572,1.0,0.6637931034482759
100,32,0.0001,4,6.872425774401361,1.0,0.5350877192982456
100,16,0.0005,2,6.873595053789417,1.0,0.5565217391304348
100,8,0.0001,4,6.875443521352567,1.0,0.5391304347826087
100,8,0.0005,2,6.8755789739978175,1.0,0.5603448275862069
100,32,0.0005,2,6.8780256176551315,1.0,0.5877192982456141
100,8,0.0005,4,6.8792308109543345,1.0,0.5344827586206896
400,32,0.0001,4,6.879986242915683,1.0,0.5862068965517241
100,32,0.0005,4,6.8831557332837825,1.0,0.5217391304347826
450,16,0.0001,4,6.88437737229767,1.0,0.5789473684210527
450,8,0.0001,4,6.887294136553483,1.0,0.5789473684210527
100,32,0.0001,2,6.913642797595074,1.0,0.5263157894736842
400,16,0.0005,4,6.973211616485661,1.0,0.6347826086956522
300,32,0.0005,2,6.974599078248294,1.0,0.5217391304347826
250,32,0.0005,4,6.975319236836381,1.0,0.6228070175438597
400,8,0.0005,4,6.978785217124337,1.0,0.6239316239316239
450,8,0.0005,4,6.980872018364716,1.0,0.5964912280701754
450,32,0.0001,4,6.986042595946068,1.0,0.6
450,16,0.0005,4,7.1071979405736725,1.0,0.47368421052631576
450,32,0.0005,2,7.158968707136078,1.0,0.4824561403508772
300,32,0.0005,4,7.2193507181151455,1.0,0.543859649122807
400,32,0.0005,2,7.567338920952716,1.0,0.4827586206896552
350,32,0.0005,2,7.796032830919409,1.0,0.4824561403508772
450,32,0.0005,4,8.284232379430179,1.0,0.4824561403508772
350,16,0.0001,2,8.372987801585374,1.0,0.5
350,32,0.0005,4,8.434266747725232,1.0,0.4824561403508772
400,32,0.0005,4,9.26869554954271,1.0,0.4824561403508772
300,8,0.0001,2,29.80489888835194,1.0,0.46956521739130436
300,16,0.0001,2,105.99812441942379,0.920774647887324,0.5043478260869565
250,8,0.0001,2,221.77793547277156,0.920774647887324,0.43859649122807015
250,16,0.0001,2,485.39514523693515,0.920774647887324,0.43859649122807015
200,8,0.0001,2,651.1167840633725,0.920774647887324,0.48695652173913045
200,16,0.0001,2,1066.0691103704014,0.920774647887324,0.5087719298245614
150,8,0.0001,2,1180.0955972544343,0.920774647887324,0.5175438596491229
150,16,0.0001,2,1622.0989220846282,0.8362676056338029,0.5263157894736842
100,8,0.0001,2,1705.2922212358358,0.8362676056338029,0.5087719298245614
100,16,0.0001,2,2172.865108057978,0.7517605633802817,0.5087719298245614
